"","talks","results"
"1",101,0
"2",102,0
"3",103,1
"4",104,0
"5",105,1
"6",106,0
"7",107,0
"8",108,1
"9",109,1
"10",110,0
"11",111,1
"12",112,1
"13",113,1
"14",114,1
"15",115,1
"16",116,1
"17",117,1
"18",118,0
"19",119,0
"20",125,0
"21",126,1
"22",127,0
"23",128,0
"24",129,1
"25",130,1
"26",131,1
"27",132,0
"28",133,1
"29",134,1
"30",135,0
"31",136,1
"32",137,1
"33",138,1
"34",139,1
"35",140,1
"36",141,0
"37",142,0
"38",143,0
"39",159,1
"40",200,0
"41",202,1
"42",203,1
"43",204,0
"44",205,0
"45",206,0
"46",207,1
"47",208,0
"48",209,1
"49",210,1
"50",211,0
"51",212,1
"52",213,1
"53",214,1
"54",213,1
"55",214,1
"56",215,1
"57",216,0
"58",217,1
"59",218,0
"60",219,0
"61",223,1
"62",224,1
"63",225,0
"64",226,1
"65",227,1
"66",228,0
"67",229,0
"68",230,1
"69",231,1
"70",232,1
"71",233,0
"72",234,0
"73",235,1
"74",236,0
"75",237,1
"76",238,1
"77",239,0
"78",240,0
"79",300,0
"80",301,0
"81",302,1
"82",303,1
"83",304,1
"84",307,0
"85",308,0
"86",309,1
"87",310,1
"88",311,1
"89",312,1
"90",313,1
"91",314,1
"92",315,1
"93",316,0
"94",317,0
"95",318,0
"96",321,1
"97",322,1
"98",323,1
"99",324,1
"100",325,1
"101",326,1
"102",327,0
"103",328,1
"104",329,1
"105",330,0
"106",331,1
"107",332,1
"108",334,0
"109",335,0
"110",336,0
"111",337,0
"112",338,0
"113",339,0
"114",340,0
"115",341,1
"116",342,0
"117",400,0
"118",401,1
"119",402,1
"120",403,1
"121",404,1
"122",405,1
"123",406,0
"124",407,0
"125",408,0
"126",409,1
"127",410,0
"128",411,0
"129",412,0
"130",413,0
"131",415,1
"132",416,1
"133",417,1
"134",418,0
"135",421,1
"136",422,0
"137",423,1
"138",424,0
"139",425,0
"140",426,1
"141",427,0
"142",428,1
"143",429,0
"144",430,0
"145",431,0
"146",432,1
"147",433,1
"148",434,1
"149",435,0
"150",436,1
"151",437,0
